net,length_um
carry5\[10\],31.68
_2789_,31.64
_1417_,31.62
_1946_,31.62
_3891_,31.62
_2073_,31.6
sh7\[2\],31.6
_4054_,31.56
_3747_,31.54
_0104_,31.52
clknet_leaf_45_clk,31.5
_2051_,31.46
_1170_,31.43
_1659_,31.42
_2211_,31.38
_0815_,31.36
_1355_,31.36
_1557_,31.32
_3224_,31.275
_3525_,31.26
net210,31.2
s3\[7\],31.18
_1599_,31.13
_1611_,31.12
_4059_,31.12
net212,31.1
net171,31.08
_3544_,31.05
_1671_,31.03
_3370_,31
_1567_,30.98
_1962_,30.98
_1048_,30.92
_4060_,30.92
_1396_,30.88
_3928_,30.88
_1694_,30.84
_4074_,30.84
_3163_,30.82
_2570_,30.76
_2694_,30.76
net397,30.76
_1030_,30.74
sh1\[3\],30.74
_2344_,30.72
_1833_,30.7
_3863_,30.7
s4\[5\],30.7
_0893_,30.635
net4,30.62
_1022_,30.59
_2263_,30.5
_3894_,30.5
_3445_,30.48
clknet_leaf_10_clk,30.48
net158,30.44
_0940_,30.38
_2706_,30.38
_3198_,30.38
_3840_,30.38
sum5\[14\],30.3
net342,30.3
_3378_,30.28
_3009_,30.2
_3119_,30.185
_1269_,30.18
sh4\[6\],30.16
_2648_,30.12
sh11\[2\],30.12
_2466_,30.1
_3771_,30.1
_1522_,30.06
_2154_,30
carry5\[13\],29.94
_3938_,29.9
_0102_,29.88
_1978_,29.88
_2310_,29.86
_1764_,29.84
_2642_,29.82
_3410_,29.81
_3135_,29.8
_1815_,29.74
_1999_,29.71
_1745_,29.7
_1571_,29.68
_0958_,29.66
_4087_,29.66
_3576_,29.62
_2571_,29.615
_3988_,29.6
_3611_,29.58
_3170_,29.515
sum2\[12\],29.46
_1797_,29.44
sh1\[5\],29.44
_1648_,29.42
_2381_,29.42
_1298_,29.4
_2613_,29.36
_3781_,29.32
net448,29.32
_3327_,29.31
_1655_,29.28
_1319_,29.26
_1373_,29.26
net225,29.24
_2765_,29.22
_3543_,29.22
_4013_,29.22
_2318_,29.2
_1139_,29.18
_3648_,29.18
_0884_,29.17
_1445_,29.16
_2256_,29.16
sh8\[4\],29.12
_1642_,29.1
_0090_,29.06
net227,29.06
_2174_,29.04
_1553_,29.02
_3765_,28.98
_4088_,28.96
_3608_,28.94
_2997_,28.92
_2670_,28.9
_3336_,28.9
_4085_,28.88
sh3\[1\],28.86
_1447_,28.82
_0135_,28.7
_2569_,28.64
_0133_,28.6
s6\[11\],28.6
_2768_,28.58
s2\[6\],28.58
_2604_,28.565
_0845_,28.56
_1601_,28.52
_0778_,28.5
_1035_,28.5
_1997_,28.48
_3472_,28.48
_0989_,28.46
_2041_,28.44
_1008_,28.42
_2771_,28.42
_2958_,28.42
_3384_,28.42
s4\[6\],28.42
_0735_,28.4
_3517_,28.4
_3626_,28.32
sh7\[0\],28.26
_3588_,28.25
_3872_,28.24
final_sum\[4\],28.24
_1826_,28.18
_2390_,28.16
_4098_,28.16
_1266_,28.1
_2436_,28.08
_1510_,28.04
bit_sum6\[6\],28.04
_3994_,28.03
_2783_,28
_3877_,27.98
sh2\[3\],27.98
_3120_,27.96
_1781_,27.94
_0814_,27.915
_1317_,27.88
_2724_,27.88
_2777_,27.875
_2155_,27.87
_1379_,27.86
_3442_,27.86
_2611_,27.85
_2947_,27.84
_0728_,27.82
_1584_,27.82
sh12\[1\],27.82
sum3\[9\],27.82
sum5\[8\],27.81
_4047_,27.795
_2358_,27.78
_3314_,27.76
_2012_,27.74
net241,27.74
_3396_,27.7
_3441_,27.7
_1947_,27.66
_2948_,27.64
_4045_,27.64
carry3\[11\],27.64
_1682_,27.62
_2896_,27.615
_3186_,27.56
sh11\[4\],27.52
_2179_,27.48
_3432_,27.445
_2419_,27.4
_3641_,27.4
_2267_,27.39
_4083_,27.38
_1077_,27.34
_1103_,27.3
_2020_,27.3
_0941_,27.29
_3678_,27.27
_3505_,27.26
_2333_,27.25
_1229_,27.24
_1789_,27.22
_1857_,27.22
_3547_,27.22
_3389_,27.2
_0939_,27.16
_1341_,27.16
_0844_,27.12
_2794_,27.12
_3052_,27.1
_1497_,27.08
_2790_,27.06
_1915_,27.05
_1288_,27.04
_1112_,27.02
_1911_,27
_2255_,27
_1958_,26.98
_1998_,26.98
s2\[8\],26.98
_3670_,26.96
_3683_,26.94
s3\[6\],26.9
net333,26.88
_2111_,26.86
_2673_,26.86
_2082_,26.84
_3672_,26.84
_1663_,26.825
_2809_,26.82
_3155_,26.74
_3593_,26.72
sum2\[10\],26.72
_2150_,26.7
carry2\[8\],26.7
_3088_,26.68
_3414_,26.68
_4022_,26.68
_1850_,26.6
_2697_,26.6
_1616_,26.58
sh1\[6\],26.56
_3253_,26.53
_1065_,26.52
_3618_,26.52
_2283_,26.48
_0725_,26.46
_2787_,26.46
_1015_,26.44
_2852_,26.42
_0953_,26.4
_1287_,26.38
_1174_,26.36
_1734_,26.36
_2374_,26.36
_3106_,26.36
_3312_,26.36
_1554_,26.3
_0821_,26.28
_3404_,26.28
net205,26.28
_1539_,26.24
_2349_,26.24
_3412_,26.22
_3860_,26.2
_1954_,26.16
_2137_,26.16
_3996_,26.16
net336,26.145
_3121_,26.14
carry4\[12\],26.14
_3036_,26.12
_3688_,26.12
_3924_,26.12
_0803_,26.1
_1988_,26.08
